rank,id_student,code_module,code_presentation,gender,age_band,highest_education,imd_band,num_of_prev_attempts,studied_credits,mean_score,pct_submitted,final_result,dropout,dropout_probability,risk_tier,model_used,scored_date
27,585384,DDD,2013J,F,0-35,Lower Than A Level,80-90%,0,210,,,Withdrawn,1,0.9911,HIGH,XGBoost,2026-06-02
28,88758,CCC,2014B,M,35-55,Post Graduate Qualification,,0,330,,,Withdrawn,1,0.9911,HIGH,XGBoost,2026-06-02
29,127209,BBB,2013B,F,0-35,A Level or Equivalent,40-50%,1,180,,,Withdrawn,1,0.991,HIGH,XGBoost,2026-06-02
30,75469,CCC,2014B,M,0-35,A Level or Equivalent,80-90%,0,210,,,Withdrawn,1,0.991,HIGH,XGBoost,2026-06-02
31,571732,BBB,2014B,F,35-55,Lower Than A Level,70-80%,1,180,,,Withdrawn,1,0.9909,HIGH,XGBoost,2026-06-02
32,416000,DDD,2013B,F,0-35,Lower Than A Level,80-90%,1,210,,,Withdrawn,1,0.9908,HIGH,XGBoost,2026-06-02
33,153687,CCC,2014B,F,35-55,A Level or Equivalent,60-70%,0,400,,,Withdrawn,1,0.9908,HIGH,XGBoost,2026-06-02
34,573284,DDD,2013J,F,35-55,A Level or Equivalent,40-50%,0,210,,,Withdrawn,1,0.9905,HIGH,XGBoost,2026-06-02
35,581584,DDD,2013J,F,0-35,Lower Than A Level,80-90%,0,240,,,Withdrawn,1,0.9904,HIGH,XGBoost,2026-06-02
36,645906,DDD,2014J,M,0-35,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9903,HIGH,XGBoost,2026-06-02
37,540885,CCC,2014J,M,0-35,Lower Than A Level,0-10%,0,240,,,Withdrawn,1,0.9901,HIGH,XGBoost,2026-06-02
38,576869,DDD,2014B,F,0-35,A Level or Equivalent,50-60%,0,120,,,Withdrawn,1,0.9901,HIGH,XGBoost,2026-06-02
39,2509297,BBB,2013J,F,0-35,HE Qualification,0-10%,0,240,,,Withdrawn,1,0.9901,HIGH,XGBoost,2026-06-02
40,630510,CCC,2014J,M,0-35,A Level or Equivalent,20-30%,0,240,,,Withdrawn,1,0.9898,HIGH,XGBoost,2026-06-02
41,630510,FFF,2014J,M,0-35,A Level or Equivalent,20-30%,0,240,,,Withdrawn,1,0.9898,HIGH,XGBoost,2026-06-02
42,2683696,DDD,2013J,M,35-55,A Level or Equivalent,60-70%,0,330,,,Withdrawn,1,0.9897,HIGH,XGBoost,2026-06-02
43,540885,DDD,2014J,M,0-35,Lower Than A Level,0-10%,0,240,,,Withdrawn,1,0.9897,HIGH,XGBoost,2026-06-02
44,2578041,BBB,2013B,F,35-55,A Level or Equivalent,30-40%,0,300,,,Withdrawn,1,0.9896,HIGH,XGBoost,2026-06-02
45,2683696,DDD,2014B,M,35-55,A Level or Equivalent,60-70%,1,300,,,Withdrawn,1,0.9895,HIGH,XGBoost,2026-06-02
46,645618,FFF,2014J,F,35-55,HE Qualification,20-30%,0,210,,,Withdrawn,1,0.9891,HIGH,XGBoost,2026-06-02
47,675116,BBB,2014J,F,0-35,Lower Than A Level,30-40%,0,240,,,Withdrawn,1,0.989,HIGH,XGBoost,2026-06-02
48,641265,FFF,2014J,M,0-35,A Level or Equivalent,20-30%,0,240,,,Withdrawn,1,0.9889,HIGH,XGBoost,2026-06-02
49,2149701,DDD,2013J,F,0-35,Lower Than A Level,0-10%,0,240,,,Withdrawn,1,0.9888,HIGH,XGBoost,2026-06-02
50,642013,FFF,2014J,F,35-55,A Level or Equivalent,60-70%,0,240,,,Withdrawn,1,0.9888,HIGH,XGBoost,2026-06-02
51,526948,BBB,2014B,F,35-55,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.9886,HIGH,XGBoost,2026-06-02
52,2313257,AAA,2014J,M,35-55,A Level or Equivalent,30-40%,0,360,,,Withdrawn,1,0.9886,HIGH,XGBoost,2026-06-02
53,556821,DDD,2013J,M,0-35,Lower Than A Level,40-50%,0,220,,,Withdrawn,1,0.9885,HIGH,XGBoost,2026-06-02
54,2702660,FFF,2014J,F,0-35,Lower Than A Level,50-60%,0,240,,,Withdrawn,1,0.9884,HIGH,XGBoost,2026-06-02
55,585283,BBB,2014B,F,0-35,A Level or Equivalent,0-10%,0,120,,,Withdrawn,1,0.9883,HIGH,XGBoost,2026-06-02
56,648833,DDD,2014J,M,0-35,Lower Than A Level,40-50%,0,210,,,Withdrawn,1,0.9881,HIGH,XGBoost,2026-06-02
57,604652,FFF,2014J,F,35-55,Lower Than A Level,40-50%,0,300,,,Withdrawn,1,0.988,HIGH,XGBoost,2026-06-02
58,565518,BBB,2013J,F,35-55,Lower Than A Level,90-100%,0,330,,,Withdrawn,1,0.9879,HIGH,XGBoost,2026-06-02
59,520153,BBB,2013J,F,0-35,Lower Than A Level,40-50%,0,240,,,Withdrawn,1,0.9879,HIGH,XGBoost,2026-06-02
60,2535493,DDD,2013B,M,0-35,A Level or Equivalent,,0,100,,,Withdrawn,1,0.9878,HIGH,XGBoost,2026-06-02
61,555636,DDD,2013J,M,0-35,A Level or Equivalent,50-60%,0,240,,,Withdrawn,1,0.9877,HIGH,XGBoost,2026-06-02
62,49095,FFF,2013B,F,0-35,HE Qualification,40-50%,2,150,,,Withdrawn,1,0.9875,HIGH,XGBoost,2026-06-02
63,101414,EEE,2013J,M,35-55,Lower Than A Level,70-80%,0,105,,,Withdrawn,1,0.9875,HIGH,XGBoost,2026-06-02
64,423474,DDD,2013B,F,35-55,HE Qualification,30-40%,0,120,,,Withdrawn,1,0.9874,HIGH,XGBoost,2026-06-02
65,174321,BBB,2013B,F,0-35,A Level or Equivalent,80-90%,1,270,,,Withdrawn,1,0.9872,HIGH,XGBoost,2026-06-02
66,355149,FFF,2013B,M,35-55,A Level or Equivalent,20-30%,0,180,,,Withdrawn,1,0.9871,HIGH,XGBoost,2026-06-02
67,576996,BBB,2013J,F,0-35,Lower Than A Level,80-90%,0,120,,,Withdrawn,1,0.9871,HIGH,XGBoost,2026-06-02
68,677721,EEE,2014J,M,0-35,A Level or Equivalent,20-30%,0,240,,,Withdrawn,1,0.9871,HIGH,XGBoost,2026-06-02
69,677721,CCC,2014J,M,0-35,A Level or Equivalent,20-30%,0,240,,,Withdrawn,1,0.9871,HIGH,XGBoost,2026-06-02
70,352641,DDD,2013J,F,0-35,Lower Than A Level,80-90%,0,120,,,Withdrawn,1,0.9871,HIGH,XGBoost,2026-06-02
71,2632243,BBB,2014B,F,0-35,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.987,HIGH,XGBoost,2026-06-02
72,401258,CCC,2014J,F,0-35,Lower Than A Level,20-30%,0,210,100.0,0.1,Withdrawn,1,0.987,HIGH,XGBoost,2026-06-02
73,2630087,AAA,2014J,F,35-55,Lower Than A Level,90-100%,0,210,,,Withdrawn,1,0.9868,HIGH,XGBoost,2026-06-02
74,683172,BBB,2014J,F,0-35,A Level or Equivalent,50-60%,0,240,,,Withdrawn,1,0.9866,HIGH,XGBoost,2026-06-02
75,586133,BBB,2014B,F,0-35,A Level or Equivalent,30-40%,0,270,,,Withdrawn,1,0.9866,HIGH,XGBoost,2026-06-02
76,583348,DDD,2014B,M,35-55,A Level or Equivalent,10-20,0,120,,,Withdrawn,1,0.9865,HIGH,XGBoost,2026-06-02
77,125677,DDD,2013B,M,35-55,A Level or Equivalent,80-90%,3,150,,,Withdrawn,1,0.9864,HIGH,XGBoost,2026-06-02
78,553556,BBB,2013J,F,0-35,Lower Than A Level,80-90%,0,120,,,Withdrawn,1,0.9864,HIGH,XGBoost,2026-06-02
79,437747,DDD,2013B,F,0-35,A Level or Equivalent,50-60%,0,105,,,Withdrawn,1,0.9863,HIGH,XGBoost,2026-06-02
80,171107,EEE,2013J,F,0-35,A Level or Equivalent,10-20,0,270,,,Withdrawn,1,0.9863,HIGH,XGBoost,2026-06-02
81,547816,CCC,2014B,F,0-35,Lower Than A Level,60-70%,0,210,,,Withdrawn,1,0.9863,HIGH,XGBoost,2026-06-02
82,652933,BBB,2014J,F,0-35,Lower Than A Level,0-10%,0,240,1.0,0.16666666666666666,Withdrawn,1,0.9863,HIGH,XGBoost,2026-06-02
83,515370,FFF,2013B,M,0-35,Lower Than A Level,80-90%,0,210,,,Withdrawn,1,0.9862,HIGH,XGBoost,2026-06-02
84,539913,FFF,2014J,M,0-35,Lower Than A Level,20-30%,0,210,,,Withdrawn,1,0.9862,HIGH,XGBoost,2026-06-02
85,1398821,CCC,2014B,M,35-55,HE Qualification,70-80%,0,90,,,Withdrawn,1,0.9859,HIGH,XGBoost,2026-06-02
86,2365101,AAA,2013J,M,0-35,HE Qualification,20-30%,0,300,,,Withdrawn,1,0.9859,HIGH,XGBoost,2026-06-02
87,585384,DDD,2014B,F,0-35,Lower Than A Level,80-90%,1,210,,,Withdrawn,1,0.9859,HIGH,XGBoost,2026-06-02
88,483343,DDD,2014J,F,0-35,Lower Than A Level,30-40%,0,240,,,Withdrawn,1,0.9857,HIGH,XGBoost,2026-06-02
89,528642,BBB,2013J,F,0-35,Lower Than A Level,40-50%,0,390,,,Withdrawn,1,0.9854,HIGH,XGBoost,2026-06-02
90,399863,FFF,2013J,M,0-35,A Level or Equivalent,30-40%,0,270,,,Withdrawn,1,0.9852,HIGH,XGBoost,2026-06-02
91,2213982,CCC,2014B,M,35-55,Lower Than A Level,20-30%,0,330,,,Withdrawn,1,0.985,HIGH,XGBoost,2026-06-02
92,2480654,CCC,2014J,F,35-55,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.985,HIGH,XGBoost,2026-06-02
93,2667605,DDD,2013B,M,0-35,HE Qualification,50-60%,2,280,,,Withdrawn,1,0.9849,HIGH,XGBoost,2026-06-02
94,254313,BBB,2014J,F,35-55,HE Qualification,20-30%,0,240,,,Withdrawn,1,0.9849,HIGH,XGBoost,2026-06-02
95,524379,FFF,2013J,F,0-35,Lower Than A Level,80-90%,0,210,,,Withdrawn,1,0.9848,HIGH,XGBoost,2026-06-02
96,544177,BBB,2014J,F,0-35,Lower Than A Level,80-90%,0,120,,,Withdrawn,1,0.9846,HIGH,XGBoost,2026-06-02
97,647876,BBB,2014J,F,0-35,Lower Than A Level,80-90%,0,120,,,Withdrawn,1,0.9846,HIGH,XGBoost,2026-06-02
98,247714,FFF,2014B,M,0-35,HE Qualification,20-30%,0,90,,,Withdrawn,1,0.9845,HIGH,XGBoost,2026-06-02
99,695416,FFF,2014J,M,0-35,Lower Than A Level,60-70%,0,240,,,Withdrawn,1,0.9845,HIGH,XGBoost,2026-06-02
100,655383,EEE,2014J,F,0-35,Lower Than A Level,80-90%,0,360,,,Withdrawn,1,0.9845,HIGH,XGBoost,2026-06-02
101,1407549,CCC,2014B,F,35-55,A Level or Equivalent,90-100%,0,150,,,Withdrawn,1,0.9844,HIGH,XGBoost,2026-06-02
102,481092,FFF,2013J,F,0-35,A Level or Equivalent,60-70%,0,240,,,Withdrawn,1,0.9842,HIGH,XGBoost,2026-06-02
103,641795,BBB,2014J,F,35-55,A Level or Equivalent,80-90%,0,180,,,Withdrawn,1,0.9842,HIGH,XGBoost,2026-06-02
104,104215,DDD,2014J,M,0-35,A Level or Equivalent,0-10%,0,270,,,Withdrawn,1,0.9842,HIGH,XGBoost,2026-06-02
105,399863,CCC,2014B,M,0-35,A Level or Equivalent,30-40%,0,270,,,Withdrawn,1,0.9841,HIGH,XGBoost,2026-06-02
106,648833,CCC,2014J,M,0-35,Lower Than A Level,40-50%,0,210,,,Withdrawn,1,0.9841,HIGH,XGBoost,2026-06-02
107,536794,DDD,2014B,M,0-35,Lower Than A Level,70-80%,0,210,,,Withdrawn,1,0.984,HIGH,XGBoost,2026-06-02
108,485352,BBB,2013B,F,0-35,A Level or Equivalent,50-60%,0,240,,,Withdrawn,1,0.984,HIGH,XGBoost,2026-06-02
109,560490,BBB,2013J,F,0-35,A Level or Equivalent,80-90%,0,210,,,Withdrawn,1,0.984,HIGH,XGBoost,2026-06-02
110,682565,CCC,2014J,M,0-35,Lower Than A Level,80-90%,0,240,,,Withdrawn,1,0.9839,HIGH,XGBoost,2026-06-02
111,682565,FFF,2014J,M,0-35,Lower Than A Level,80-90%,0,240,,,Withdrawn,1,0.9839,HIGH,XGBoost,2026-06-02
112,566704,CCC,2014B,F,35-55,HE Qualification,20-30%,0,90,,,Withdrawn,1,0.9838,HIGH,XGBoost,2026-06-02
113,674419,DDD,2014J,M,35-55,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.9834,HIGH,XGBoost,2026-06-02
114,639176,CCC,2014J,F,0-35,A Level or Equivalent,20-30%,0,360,,,Withdrawn,1,0.9832,HIGH,XGBoost,2026-06-02
115,553992,DDD,2013J,M,0-35,Lower Than A Level,40-50%,0,210,,,Withdrawn,1,0.9832,HIGH,XGBoost,2026-06-02
116,2068627,DDD,2013J,F,35-55,Post Graduate Qualification,60-70%,0,130,59.0,0.14285714285714285,Withdrawn,1,0.9831,HIGH,XGBoost,2026-06-02
117,363151,BBB,2013J,M,35-55,Lower Than A Level,10-20,0,655,,,Withdrawn,1,0.9828,HIGH,XGBoost,2026-06-02
118,354815,BBB,2013B,F,35-55,Lower Than A Level,50-60%,2,120,,,Withdrawn,1,0.9828,HIGH,XGBoost,2026-06-02
119,627277,BBB,2014B,F,35-55,Lower Than A Level,70-80%,0,160,,,Withdrawn,1,0.9826,HIGH,XGBoost,2026-06-02
120,549839,BBB,2014J,F,0-35,A Level or Equivalent,80-90%,0,180,,,Withdrawn,1,0.9825,HIGH,XGBoost,2026-06-02
121,549622,BBB,2013B,F,0-35,A Level or Equivalent,80-90%,0,180,,,Withdrawn,1,0.9825,HIGH,XGBoost,2026-06-02
122,681960,DDD,2014J,M,0-35,Lower Than A Level,10-20,0,210,,,Withdrawn,1,0.9824,HIGH,XGBoost,2026-06-02
123,263022,DDD,2014B,F,0-35,HE Qualification,60-70%,0,60,,,Withdrawn,1,0.9823,HIGH,XGBoost,2026-06-02
124,572378,BBB,2014B,F,0-35,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9822,HIGH,XGBoost,2026-06-02
125,528642,DDD,2013B,F,0-35,Lower Than A Level,40-50%,0,130,,,Withdrawn,1,0.9822,HIGH,XGBoost,2026-06-02
126,595720,DDD,2013J,F,0-35,A Level or Equivalent,40-50%,0,210,,,Withdrawn,1,0.9822,HIGH,XGBoost,2026-06-02
127,2128283,EEE,2013J,M,35-55,HE Qualification,50-60%,0,90,73.66666666666667,1.0,Withdrawn,1,0.9822,HIGH,XGBoost,2026-06-02
128,572698,DDD,2013J,F,0-35,A Level or Equivalent,40-50%,0,120,,,Withdrawn,1,0.9821,HIGH,XGBoost,2026-06-02
129,230656,FFF,2014J,M,0-35,Lower Than A Level,0-10%,0,240,,,Withdrawn,1,0.982,HIGH,XGBoost,2026-06-02
130,352600,DDD,2014B,F,0-35,HE Qualification,10-20,0,135,,,Withdrawn,1,0.9819,HIGH,XGBoost,2026-06-02
131,569157,BBB,2014J,F,35-55,A Level or Equivalent,80-90%,0,180,,,Withdrawn,1,0.9818,HIGH,XGBoost,2026-06-02
132,377695,BBB,2013B,F,0-35,A Level or Equivalent,40-50%,0,180,,,Withdrawn,1,0.9815,HIGH,XGBoost,2026-06-02
133,165498,BBB,2014J,F,35-55,Lower Than A Level,80-90%,0,270,,,Withdrawn,1,0.9814,HIGH,XGBoost,2026-06-02
134,551109,DDD,2014B,F,0-35,Lower Than A Level,0-10%,0,210,,,Withdrawn,1,0.9814,HIGH,XGBoost,2026-06-02
135,589300,BBB,2014B,F,0-35,Lower Than A Level,60-70%,0,120,,,Withdrawn,1,0.9813,HIGH,XGBoost,2026-06-02
136,466956,DDD,2014J,M,0-35,Lower Than A Level,50-60%,0,210,,,Withdrawn,1,0.9812,HIGH,XGBoost,2026-06-02
137,654048,FFF,2014J,M,0-35,Lower Than A Level,30-40%,0,240,88.66666666666667,0.23076923076923078,Withdrawn,1,0.9812,HIGH,XGBoost,2026-06-02
138,2398260,FFF,2014J,M,35-55,Lower Than A Level,10-20,0,180,,,Withdrawn,1,0.9812,HIGH,XGBoost,2026-06-02
139,236150,DDD,2013J,F,35-55,HE Qualification,80-90%,0,120,,,Withdrawn,1,0.981,HIGH,XGBoost,2026-06-02
140,2627493,BBB,2014J,F,0-35,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.981,HIGH,XGBoost,2026-06-02
141,650746,BBB,2014J,F,0-35,Lower Than A Level,70-80%,0,180,,,Withdrawn,1,0.9809,HIGH,XGBoost,2026-06-02
142,575423,BBB,2013J,F,0-35,A Level or Equivalent,80-90%,0,180,,,Withdrawn,1,0.9809,HIGH,XGBoost,2026-06-02
143,328734,AAA,2014J,F,0-35,A Level or Equivalent,80-90%,0,180,,,Withdrawn,1,0.9809,HIGH,XGBoost,2026-06-02
144,485612,DDD,2014J,F,0-35,A Level or Equivalent,20-30%,0,180,,,Withdrawn,1,0.9808,HIGH,XGBoost,2026-06-02
145,605971,BBB,2014B,F,0-35,A Level or Equivalent,20-30%,0,120,,,Withdrawn,1,0.9808,HIGH,XGBoost,2026-06-02
146,642785,DDD,2014J,F,0-35,A Level or Equivalent,20-30%,0,120,,,Withdrawn,1,0.9808,HIGH,XGBoost,2026-06-02
147,236150,FFF,2013J,F,35-55,HE Qualification,80-90%,0,120,,,Withdrawn,1,0.9808,HIGH,XGBoost,2026-06-02
148,642292,BBB,2014J,F,0-35,A Level or Equivalent,20-30%,0,120,,,Withdrawn,1,0.9808,HIGH,XGBoost,2026-06-02
149,526948,FFF,2013J,F,35-55,Lower Than A Level,20-30%,0,240,,,Withdrawn,1,0.9808,HIGH,XGBoost,2026-06-02
150,429220,CCC,2014B,F,0-35,Lower Than A Level,20-30%,0,60,,,Withdrawn,1,0.9807,HIGH,XGBoost,2026-06-02
151,124847,DDD,2014B,F,35-55,Lower Than A Level,30-40%,0,210,,,Withdrawn,1,0.9806,HIGH,XGBoost,2026-06-02
152,479714,CCC,2014B,M,0-35,Lower Than A Level,60-70%,0,90,,,Withdrawn,1,0.9804,HIGH,XGBoost,2026-06-02
153,562769,BBB,2014J,F,0-35,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.9804,HIGH,XGBoost,2026-06-02
154,2480562,DDD,2013B,F,35-55,Lower Than A Level,,1,315,,,Withdrawn,1,0.9802,HIGH,XGBoost,2026-06-02
155,599382,BBB,2014B,F,35-55,HE Qualification,70-80%,0,180,,,Withdrawn,1,0.9801,HIGH,XGBoost,2026-06-02
156,323805,AAA,2014J,F,0-35,A Level or Equivalent,20-30%,0,180,,,Withdrawn,1,0.9801,HIGH,XGBoost,2026-06-02
157,636749,FFF,2014J,F,0-35,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9801,HIGH,XGBoost,2026-06-02
158,602891,CCC,2014B,F,0-35,A Level or Equivalent,70-80%,0,210,,,Withdrawn,1,0.9798,HIGH,XGBoost,2026-06-02
159,488382,AAA,2014J,F,0-35,A Level or Equivalent,10-20,0,180,,,Withdrawn,1,0.9797,HIGH,XGBoost,2026-06-02
160,250456,DDD,2013J,F,0-35,A Level or Equivalent,80-90%,0,150,,,Withdrawn,1,0.9796,HIGH,XGBoost,2026-06-02
161,584274,BBB,2014J,F,35-55,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.9795,HIGH,XGBoost,2026-06-02
162,2148297,CCC,2014B,F,35-55,Lower Than A Level,30-40%,0,210,,,Withdrawn,1,0.9794,HIGH,XGBoost,2026-06-02
163,684607,BBB,2014J,F,0-35,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.9792,HIGH,XGBoost,2026-06-02
164,349401,BBB,2014B,F,0-35,A Level or Equivalent,20-30%,0,180,,,Withdrawn,1,0.9792,HIGH,XGBoost,2026-06-02
165,648947,DDD,2014J,F,0-35,Lower Than A Level,20-30%,0,180,,,Withdrawn,1,0.9792,HIGH,XGBoost,2026-06-02
166,655910,DDD,2014J,M,0-35,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.9792,HIGH,XGBoost,2026-06-02
167,300848,FFF,2014J,M,0-35,Lower Than A Level,10-20,0,240,,,Withdrawn,1,0.9791,HIGH,XGBoost,2026-06-02
168,2646795,CCC,2014B,M,35-55,Post Graduate Qualification,20-30%,0,120,,,Withdrawn,1,0.9791,HIGH,XGBoost,2026-06-02
169,567168,FFF,2014B,M,35-55,A Level or Equivalent,10-20,0,90,,,Withdrawn,1,0.9789,HIGH,XGBoost,2026-06-02
170,358289,BBB,2013J,M,0-35,Lower Than A Level,10-20,0,180,,,Withdrawn,1,0.9788,HIGH,XGBoost,2026-06-02
171,491688,FFF,2013J,M,0-35,Lower Than A Level,30-40%,0,210,,,Withdrawn,1,0.9788,HIGH,XGBoost,2026-06-02
172,610531,BBB,2014B,F,0-35,Lower Than A Level,20-30%,0,120,,,Withdrawn,1,0.9787,HIGH,XGBoost,2026-06-02
173,645787,FFF,2014J,F,35-55,No Formal quals,50-60%,0,210,,,Withdrawn,1,0.9787,HIGH,XGBoost,2026-06-02
174,598150,BBB,2014B,F,0-35,A Level or Equivalent,10-20,0,180,,,Withdrawn,1,0.9787,HIGH,XGBoost,2026-06-02
175,547860,DDD,2014B,F,0-35,A Level or Equivalent,40-50%,0,180,,,Withdrawn,1,0.9786,HIGH,XGBoost,2026-06-02
176,648820,BBB,2014J,F,0-35,Lower Than A Level,70-80%,0,180,,,Withdrawn,1,0.9784,HIGH,XGBoost,2026-06-02
177,607896,CCC,2014B,M,0-35,A Level or Equivalent,30-40%,0,150,76.58333333333333,1.0,Withdrawn,1,0.9784,HIGH,XGBoost,2026-06-02
178,257369,DDD,2013B,M,0-35,A Level or Equivalent,80-90%,0,180,,,Withdrawn,1,0.9784,HIGH,XGBoost,2026-06-02
179,681210,DDD,2014J,M,0-35,Lower Than A Level,70-80%,0,180,,,Withdrawn,1,0.9783,HIGH,XGBoost,2026-06-02
180,388014,BBB,2013B,F,0-35,A Level or Equivalent,10-20,0,60,,,Withdrawn,1,0.9783,HIGH,XGBoost,2026-06-02
181,624572,BBB,2014B,F,0-35,A Level or Equivalent,0-10%,0,180,,,Withdrawn,1,0.9783,HIGH,XGBoost,2026-06-02
182,573709,DDD,2013J,M,0-35,HE Qualification,10-20,0,210,,,Withdrawn,1,0.9783,HIGH,XGBoost,2026-06-02
183,683993,BBB,2014J,F,0-35,A Level or Equivalent,80-90%,0,120,,,Withdrawn,1,0.9782,HIGH,XGBoost,2026-06-02
184,633462,BBB,2014B,F,0-35,Lower Than A Level,20-30%,0,180,,,Withdrawn,1,0.9782,HIGH,XGBoost,2026-06-02
185,75309,DDD,2014B,F,35-55,A Level or Equivalent,50-60%,0,120,,,Withdrawn,1,0.9782,HIGH,XGBoost,2026-06-02
186,476253,BBB,2014J,F,0-35,Lower Than A Level,40-50%,0,180,,,Withdrawn,1,0.9782,HIGH,XGBoost,2026-06-02
187,520153,FFF,2013B,F,0-35,Lower Than A Level,40-50%,0,400,,,Withdrawn,1,0.9781,HIGH,XGBoost,2026-06-02
188,578598,BBB,2013J,F,0-35,A Level or Equivalent,20-30%,0,120,,,Withdrawn,1,0.9781,HIGH,XGBoost,2026-06-02
189,424586,BBB,2014J,F,0-35,A Level or Equivalent,20-30%,0,120,,,Withdrawn,1,0.9781,HIGH,XGBoost,2026-06-02
190,603203,BBB,2014J,F,0-35,A Level or Equivalent,20-30%,0,120,,,Withdrawn,1,0.9781,HIGH,XGBoost,2026-06-02
191,686003,DDD,2014J,F,0-35,A Level or Equivalent,50-60%,0,210,,,Withdrawn,1,0.9781,HIGH,XGBoost,2026-06-02
192,569743,DDD,2013J,F,0-35,HE Qualification,30-40%,0,120,,,Withdrawn,1,0.9781,HIGH,XGBoost,2026-06-02
193,676376,BBB,2014J,F,0-35,A Level or Equivalent,90-100%,0,180,,,Withdrawn,1,0.978,HIGH,XGBoost,2026-06-02
